name,telephone,image,street_address,city,state,postal_code,country,full_address,latitude,longitude,area_served,facebook,twitter,linkedin,website,houzz_profile,category
Space Creater,099390 81333,https://st.hzcdn.com/simgs/ad4382a20379d9d8_0-7306/_.jpg,"103, Laxmi Complex Beside Central Bank of India Boring Road",Patna,Bihar,800001,IN,"103, Laxmi Complex Beside Central Bank of India Boring Road, Patna, Bihar, 800001",25.6058,85.1285,500009,https://www.facebook.com/spacecreaterindia,https://twitter.com/creater_space,https://www.linkedin.com/company/space-creater-patna/,https://www.spacecreater.com/,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/space-creater-pfvwus-pf~189186290,interior-designers
Aum Architects,022 4976 1288,https://st.hzcdn.com/simgs/7f83165e01230b44_0-7570/_.jpg,"203204, Sai Commercial Complex, BKS Doshi Marg, Govandi East ",Mumbai,Maharashtra,400088,IN,"203204, Sai Commercial Complex, BKS Doshi Marg, Govandi East , Mumbai, Maharashtra, 400088",19.0415,72.9359,500009,https://www.facebook.com/aumarchitectindia,https://twitter.com/aumarchitects,https://www.linkedin.com/in/manish-dikshit-9719648,www.aumarch.com,https://www.houzz.in/professionals/interior-designers-and-decorators/aum-architects-pfvwin-pf~847521678,interior-designers
stambha design house,087507 30120,https://st.hzcdn.com/simgs/7ed375480cdb8f71_0-7218/_.jpg,"E-1308, ACE Platinum, GH-12/1, Sector-Zeta I ",Greater Noida,Uttar Pradesh,201308,IN,"E-1308, ACE Platinum, GH-12/1, Sector-Zeta I , Greater Noida, Uttar Pradesh, 201308",28.4646,77.5404,500009,https://www.facebook.com/stambhadesign/,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/stambha-design-house-pfvwin-pf~1577561240,interior-designers
Design Your Space,096737 07882,https://st.hzcdn.com/simgs/cca352570c7e5148_0-6089/_.jpg, ,Pune,Maharashtra,411028,IN," , Pune, Maharashtra, 411028",18.4931,73.9339,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/design-your-space-pfvwin-pf~1295377565,interior-designers
Concepto Studio,088616 36827,https://st.hzcdn.com/simgs/2493bbf20a3225a6_0-3266/_.jpg,"G1, Barira Manor C K Gardens, Thomas Town, Cooke Town, Bengaluru, Karnataka 560084",Bangalore,Karnataka,560084,IN,"G1, Barira Manor C K Gardens, Thomas Town, Cooke Town, Bengaluru, Karnataka 560084, Bangalore, Karnataka, 560084",,,500009,https://www.facebook.com/conceptostudio.in/,,,http://conceptostudio.net/,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/concepto-studio-pfvwus-pf~722606626,interior-designers
Adi Interiors,088988 28282,https://st.hzcdn.com/simgs/4483e110001258af_0-1022/_.jpg,"A-1, Prem Nagar, Building No.7, Near Prem Nagar Garden, Off. S.V.Road, Borivali (w). ",Mumbai,,400 092,IN,"A-1, Prem Nagar, Building No.7, Near Prem Nagar Garden, Off. S.V.Road, Borivali (w). , Mumbai, 400 092",19.2248,72.8458,500009,https://www.facebook.com/Adiinteriors-1049038248448175/?ref=bookmarks,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/adi-interiors-pfvwin-pf~377691504,interior-designers
D'decos Interiors Philosophy,097977 70999,https://st.hzcdn.com/simgs/9dc30a12045d3560_0-0118/_.jpg,Rambagh Extension ,Adjecent post office.,Jammu And Kashmir,190009,IN,"Rambagh Extension , Adjecent post office., Jammu And Kashmir, 190009",34.0564,74.7879,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/d-decos-interiors-philosophy-pfvwin-pf~667427848,interior-designers
Hyphen Designs,098868 31618,https://st.hzcdn.com/simgs/f1634fbb091eaf31_0-6093/_.jpg,JAYANAGAR ,Bangalore,Karnataka,560078,IN,"JAYANAGAR , Bangalore, Karnataka, 560078",12.8953,77.5761,500009,https://www.facebook.com/touchhyphen/,,,https://www.instagram.com/touchhyphen,https://www.houzz.in/professionals/interior-designers-and-decorators/hyphen-designs-pfvwin-pf~1705496209,interior-designers
Perfect Spaces,098332 06099,https://st.hzcdn.com/simgs/69d316df023f46ff_0-2729/_.jpg,"101, 1st Floor, Shree Niketan Building, Dr. Kashibai Navrange Marg, New Gamdevi",Mumbai,Maharashtra,400007,IN,"101, 1st Floor, Shree Niketan Building, Dr. Kashibai Navrange Marg, New Gamdevi, Mumbai, Maharashtra, 400007",,,500009,https://www.facebook.com/Perfectspaces3/photos/?ref=page_internal,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/perfect-spaces-pfvwin-pf~725896226,interior-designers
INTERIORA LLP,098671 47806,https://st.hzcdn.com/simgs/0ce35d85019e5195_0-6076/_.jpg,"312, B2B Agarwal business centre, D'monte lane, kanchpada, Malad west ",Mumbai,Maharashtra,400064,IN,"312, B2B Agarwal business centre, D'monte lane, kanchpada, Malad west , Mumbai, Maharashtra, 400064",19.1857,72.8392,500009,,,,,https://www.houzz.in/professionals/interior-designers-and-decorators/interiora-llp-pfvwin-pf~1673132790,interior-designers
